label,text,event_type
1,Dog shake cat.,"{'sen_id': 0, 'sentence': 'Dog shake cat.', 'predicted_mentions': []}"
1,Student climb ship.,"{'sen_id': 1, 'sentence': 'Student climb ship.', 'predicted_mentions': [{'sentence_offset': [8, 13], 'trigger_words': 'climb', 'trigger_confidence': 0.7048793435096741, 'event_type': {'xpo_node': 'DWD_Q887540', 'name': 'boarding', 'description': 'transport'}, 'event_confidence': 0.6038543581962585}]}"
1,Pipe vent vapor.,"{'sen_id': 2, 'sentence': 'Pipe vent vapor.', 'predicted_mentions': []}"
0,Chef burn air.,"{'sen_id': 3, 'sentence': 'Chef burn air.', 'predicted_mentions': [{'sentence_offset': [5, 9], 'trigger_words': 'burn', 'trigger_confidence': 0.809974193572998, 'event_type': {'xpo_node': 'DWD_Q168983', 'name': 'conflagration', 'description': 'large and destructive fire that threatens human life, animal life, health, and/or property'}, 'event_confidence': 0.7625857591629028}]}"
0,Boat crush air.,"{'sen_id': 4, 'sentence': 'Boat crush air.', 'predicted_mentions': [{'sentence_offset': [5, 10], 'trigger_words': 'crush', 'trigger_confidence': 0.7064393162727356, 'event_type': {'xpo_node': 'DWD_Q2991605', 'name': 'crushing', 'description': 'process of reducing a hard or dry material into small parts with a tool'}, 'event_confidence': 0.9291518926620483}]}"
1,Knife sharpen glass.,"{'sen_id': 5, 'sentence': 'Knife sharpen glass.', 'predicted_mentions': []}"
1,Screwdriver fix door.,"{'sen_id': 6, 'sentence': 'Screwdriver fix door.', 'predicted_mentions': [{'sentence_offset': [12, 15], 'trigger_words': 'fix', 'trigger_confidence': 0.5164490342140198, 'event_type': {'xpo_node': 'DWD_Q23001715', 'name': 'conventional_amendment', 'description': 'modification of a contract or agreement, subject to the approval of the signatory parties, in order to correct or cancel it.'}, 'event_confidence': 0.9431458711624146}]}"
1,Stick hook purse.,"{'sen_id': 7, 'sentence': 'Stick hook purse.', 'predicted_mentions': []}"
0,Elephant shake smoke.,"{'sen_id': 8, 'sentence': 'Elephant shake smoke.', 'predicted_mentions': []}"
1,Woman cook turkey.,"{'sen_id': 9, 'sentence': 'Woman cook turkey.', 'predicted_mentions': [{'sentence_offset': [6, 10], 'trigger_words': 'cook', 'trigger_confidence': 0.8934341669082642, 'event_type': {'xpo_node': 'DWD_Q1039303', 'name': 'cooking_method', 'description': 'method to prepare a dish'}, 'event_confidence': 0.8944423198699951}]}"
1,Mayor jail person.,"{'sen_id': 10, 'sentence': 'Mayor jail person.', 'predicted_mentions': []}"
1,Man film shirt.,"{'sen_id': 11, 'sentence': 'Man film shirt.', 'predicted_mentions': []}"
1,Man crush child.,"{'sen_id': 12, 'sentence': 'Man crush child.', 'predicted_mentions': []}"
0,Cat lick cloud.,"{'sen_id': 13, 'sentence': 'Cat lick cloud.', 'predicted_mentions': []}"
0,Crab move gorilla.,"{'sen_id': 14, 'sentence': 'Crab move gorilla.', 'predicted_mentions': [{'sentence_offset': [5, 9], 'trigger_words': 'move', 'trigger_confidence': 0.8351924419403076, 'event_type': {'xpo_node': 'DWD_Q79782', 'name': 'motion', 'description': 'change in position of an object over time; a body is said to be in motion if it changes its position with respect to its immediate surroundings'}, 'event_confidence': 0.8780680298805237}]}"
0,Leaf attach rope.,"{'sen_id': 15, 'sentence': 'Leaf attach rope.', 'predicted_mentions': [{'sentence_offset': [5, 11], 'trigger_words': 'attach', 'trigger_confidence': 0.5239598751068115, 'event_type': {'xpo_node': 'DWD_Q1248914', 'name': 'prestation', 'description': ""a rent, tax, or due paid in kind or in services (as in return for the lord's warrant or authority for taking wood)""}, 'event_confidence': 0.8877921104431152}]}"
1,Oven cook steak.,"{'sen_id': 16, 'sentence': 'Oven cook steak.', 'predicted_mentions': []}"
1,Dog squash grape.,"{'sen_id': 17, 'sentence': 'Dog squash grape.', 'predicted_mentions': []}"
1,Elephant pull house.,"{'sen_id': 18, 'sentence': 'Elephant pull house.', 'predicted_mentions': []}"
1,Woman erect pen.,"{'sen_id': 19, 'sentence': 'Woman erect pen.', 'predicted_mentions': []}"
0,Water poison rock.,"{'sen_id': 20, 'sentence': 'Water poison rock.', 'predicted_mentions': []}"
0,Bottle ejaculate book.,"{'sen_id': 21, 'sentence': 'Bottle ejaculate book.', 'predicted_mentions': []}"
1,Man grab apple.,"{'sen_id': 22, 'sentence': 'Man grab apple.', 'predicted_mentions': []}"
1,Dog close door.,"{'sen_id': 23, 'sentence': 'Dog close door.', 'predicted_mentions': []}"
1,Dog pull rope.,"{'sen_id': 24, 'sentence': 'Dog pull rope.', 'predicted_mentions': []}"
0,Rabbit clench lion.,"{'sen_id': 25, 'sentence': 'Rabbit clench lion.', 'predicted_mentions': []}"
1,Policeman bend lamp.,"{'sen_id': 26, 'sentence': 'Policeman bend lamp.', 'predicted_mentions': [{'sentence_offset': [10, 14], 'trigger_words': 'bend', 'trigger_confidence': 0.6964978575706482, 'event_type': {'xpo_node': 'DWD_Q196117', 'name': 'bending', 'description': 'metalworking term'}, 'event_confidence': 0.7934393882751465}]}"
1,Oil dampen trash.,"{'sen_id': 27, 'sentence': 'Oil dampen trash.', 'predicted_mentions': []}"
0,Wall hook fish.,"{'sen_id': 28, 'sentence': 'Wall hook fish.', 'predicted_mentions': []}"
0,Air warm log.,"{'sen_id': 29, 'sentence': 'Air warm log.', 'predicted_mentions': []}"
0,Oil lengthen brick.,"{'sen_id': 30, 'sentence': 'Oil lengthen brick.', 'predicted_mentions': []}"
0,Wind scratch arm.,"{'sen_id': 31, 'sentence': 'Wind scratch arm.', 'predicted_mentions': []}"
1,Ant bite man.,"{'sen_id': 32, 'sentence': 'Ant bite man.', 'predicted_mentions': [{'sentence_offset': [4, 8], 'trigger_words': 'bite', 'trigger_confidence': 0.9334151148796082, 'event_type': {'xpo_node': 'DWD_Q4918888', 'name': 'biting', 'description': 'behaviour of opening and closing the jaw found in many animals'}, 'event_confidence': 0.9439607262611389}]}"
1,Neck hang necklace.,"{'sen_id': 33, 'sentence': 'Neck hang necklace.', 'predicted_mentions': []}"
0,Policeman halt oil.,"{'sen_id': 34, 'sentence': 'Policeman halt oil.', 'predicted_mentions': [{'sentence_offset': [10, 14], 'trigger_words': 'halt', 'trigger_confidence': 0.9609867334365845, 'event_type': {'xpo_node': 'DWD_Q5750548', 'name': 'hiatus', 'description': ""break in a TV programme's schedule""}, 'event_confidence': 0.9769834876060486}]}"
0,Kangaroo kick oil.,"{'sen_id': 35, 'sentence': 'Kangaroo kick oil.', 'predicted_mentions': []}"
1,Policeman cook dolphin.,"{'sen_id': 36, 'sentence': 'Policeman cook dolphin.', 'predicted_mentions': []}"
1,Man shove infant.,"{'sen_id': 37, 'sentence': 'Man shove infant.', 'predicted_mentions': [{'sentence_offset': [4, 9], 'trigger_words': 'shove', 'trigger_confidence': 0.7887297868728638, 'event_type': {'xpo_node': 'DWD_Q69396773', 'name': 'pushing', 'description': 'causing an item to move by applying a compressive force to it'}, 'event_confidence': 0.9819746613502502}]}"
0,Horse breed cow.,"{'sen_id': 38, 'sentence': 'Horse breed cow.', 'predicted_mentions': []}"
1,Man erect bug.,"{'sen_id': 39, 'sentence': 'Man erect bug.', 'predicted_mentions': []}"
1,Knife sever rabbit.,"{'sen_id': 40, 'sentence': 'Knife sever rabbit.', 'predicted_mentions': []}"
0,Rabbit exhale pebbles.,"{'sen_id': 41, 'sentence': 'Rabbit exhale pebbles.', 'predicted_mentions': []}"
0,Man lengthen rock.,"{'sen_id': 42, 'sentence': 'Man lengthen rock.', 'predicted_mentions': []}"
0,Wind strike car.,"{'sen_id': 43, 'sentence': 'Wind strike car.', 'predicted_mentions': [{'sentence_offset': [5, 11], 'trigger_words': 'strike', 'trigger_confidence': 0.6949514150619507, 'event_type': {'xpo_node': 'DWD_Q3242199', 'name': 'strike', 'description': 'directed physical attack'}, 'event_confidence': 0.8951500058174133}]}"
0,Knife trim skyscraper.,"{'sen_id': 44, 'sentence': 'Knife trim skyscraper.', 'predicted_mentions': []}"
1,Wolf haul cat.,"{'sen_id': 45, 'sentence': 'Wolf haul cat.', 'predicted_mentions': [{'sentence_offset': [5, 9], 'trigger_words': 'haul', 'trigger_confidence': 0.7429054379463196, 'event_type': {'xpo_node': 'DWD_Q4174178', 'name': 'haulage', 'description': 'transporting of goods or materials by road or rail'}, 'event_confidence': 0.9715200066566467}]}"
0,Pillow smash table.,"{'sen_id': 46, 'sentence': 'Pillow smash table.', 'predicted_mentions': []}"
1,Rabbit eat banana.,"{'sen_id': 47, 'sentence': 'Rabbit eat banana.', 'predicted_mentions': [{'sentence_offset': [7, 10], 'trigger_words': 'eat', 'trigger_confidence': 0.8269420266151428, 'event_type': {'xpo_node': 'DWD_Q213449', 'name': 'eating', 'description': 'ingestion of food to provide for all organisms their nutritional or medicinal needs'}, 'event_confidence': 0.940285861492157}]}"
1,Scissors clench purse.,"{'sen_id': 48, 'sentence': 'Scissors clench purse.', 'predicted_mentions': []}"
1,Girl whisk egg.,"{'sen_id': 49, 'sentence': 'Girl whisk egg.', 'predicted_mentions': []}"
0,Monkey vent cream.,"{'sen_id': 50, 'sentence': 'Monkey vent cream.', 'predicted_mentions': []}"
1,Squid grab hand.,"{'sen_id': 51, 'sentence': 'Squid grab hand.', 'predicted_mentions': []}"
1,Bowl spill water.,"{'sen_id': 52, 'sentence': 'Bowl spill water.', 'predicted_mentions': []}"
1,Chair attack clown.,"{'sen_id': 53, 'sentence': 'Chair attack clown.', 'predicted_mentions': [{'sentence_offset': [6, 12], 'trigger_words': 'attack', 'trigger_confidence': 0.8119200468063354, 'event_type': {'xpo_node': 'DWD_Q1174599', 'name': 'attack', 'description': 'action to injure another organism'}, 'event_confidence': 0.9025582075119019}]}"
0,Sand beat dollar.,"{'sen_id': 54, 'sentence': 'Sand beat dollar.', 'predicted_mentions': [{'sentence_offset': [5, 9], 'trigger_words': 'beat', 'trigger_confidence': 0.8067007064819336, 'event_type': {'xpo_node': 'DWD_Q81242', 'name': 'sea_breeze', 'description': 'wind blowing from sea to land'}, 'event_confidence': 0.739743709564209}]}"
1,Man build deck.,"{'sen_id': 55, 'sentence': 'Man build deck.', 'predicted_mentions': [{'sentence_offset': [4, 9], 'trigger_words': 'build', 'trigger_confidence': 0.8951192498207092, 'event_type': {'xpo_node': 'DWD_Q887540', 'name': 'boarding', 'description': 'transport'}, 'event_confidence': 0.7872706651687622}]}"
1,Girl cook fish.,"{'sen_id': 56, 'sentence': 'Girl cook fish.', 'predicted_mentions': [{'sentence_offset': [5, 9], 'trigger_words': 'cook', 'trigger_confidence': 0.8560846447944641, 'event_type': {'xpo_node': 'DWD_Q1039303', 'name': 'cooking_method', 'description': 'method to prepare a dish'}, 'event_confidence': 0.9171510934829712}]}"
1,Cleaver slash bush.,"{'sen_id': 57, 'sentence': 'Cleaver slash bush.', 'predicted_mentions': []}"
0,Elephant haul book.,"{'sen_id': 58, 'sentence': 'Elephant haul book.', 'predicted_mentions': [{'sentence_offset': [9, 13], 'trigger_words': 'haul', 'trigger_confidence': 0.5012819766998291, 'event_type': {'xpo_node': 'DWD_Q4174178', 'name': 'haulage', 'description': 'transporting of goods or materials by road or rail'}, 'event_confidence': 0.9757037162780762}]}"
0,Sword slice smoke.,"{'sen_id': 59, 'sentence': 'Sword slice smoke.', 'predicted_mentions': []}"
1,Boy pluck apple.,"{'sen_id': 60, 'sentence': 'Boy pluck apple.', 'predicted_mentions': []}"
1,Student knit carpet.,"{'sen_id': 61, 'sentence': 'Student knit carpet.', 'predicted_mentions': [{'sentence_offset': [8, 12], 'trigger_words': 'knit', 'trigger_confidence': 0.907194972038269, 'event_type': {'xpo_node': 'DWD_Q1920065', 'name': 'quilting', 'description': 'process of sewing layers of fabric together to make a padded material'}, 'event_confidence': 0.8240050673484802}]}"
1,Knife etch rock.,"{'sen_id': 62, 'sentence': 'Knife etch rock.', 'predicted_mentions': [{'sentence_offset': [6, 10], 'trigger_words': 'etch', 'trigger_confidence': 0.897904098033905, 'event_type': {'xpo_node': 'DWD_Q1817291', 'name': 'needlework', 'description': 'craft of creating or decorating objects using needle and thread'}, 'event_confidence': 0.8125762343406677}]}"
1,Elephant slide boat.,"{'sen_id': 63, 'sentence': 'Elephant slide boat.', 'predicted_mentions': []}"
1,Student crop plant.,"{'sen_id': 64, 'sentence': 'Student crop plant.', 'predicted_mentions': []}"
0,Pen pour juice.,"{'sen_id': 65, 'sentence': 'Pen pour juice.', 'predicted_mentions': []}"
