text,original_label,label,event_type,subject_types,object_types
Event occurs year.,plausible,1,"{'sen_id': 0, 'sentence': 'Event occurs year.', 'predicted_mentions': []}","[{'wd_qid': 'Q1656682', 'wd_label': 'event', 'description': 'temporary and scheduled happening, like a conference, festival, competition or similar'}, {'wd_qid': 'Q108874', 'wd_label': 'happening', 'description': 'type of performance artwork'}]","[{'wd_qid': 'Q577', 'wd_label': 'year', 'description': ""estimated period of time for the Earth's orbit around the Sun and observed at a fixed geographic point (averaging 365.24 days); base later modified to define or adjust various calendars""}, {'wd_qid': 'Q11471', 'wd_label': 'time', 'description': 'dimension in which events can be ordered from the past through the present into the future'}, {'wd_qid': 'Q3186692', 'wd_label': 'calendar year', 'description': ""begins on the New Year's Day of the given calendar system and ends on the day before the following New Year's Day""}, {'wd_qid': 'Q101843', 'wd_label': 'period', 'description': 'method of visualizing the relationship between elements'}, {'wd_qid': 'Q1652093', 'wd_label': 'date', 'description': 'edible fruit of a date palm'}]"
Tortoise brings limb.,plausible,1,"{'sen_id': 1, 'sentence': 'Tortoise brings limb.', 'predicted_mentions': []}","[{'wd_qid': 'Q729', 'wd_label': 'animal', 'description': 'kingdom of multicellular eukaryotic organisms'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q190780', 'wd_label': 'limb', 'description': 'moved by muscles paired appendages, which consist of different members'}]"
Headliner overpowers function.,implausible,1,"{'sen_id': 2, 'sentence': 'Headliner overpowers function.', 'predicted_mentions': [{'sentence_offset': [21, 29], 'trigger_words': 'function', 'trigger_confidence': 0.7656300067901611, 'event_type': {'xpo_node': 'DWD_Q1168263', 'name': 'function', 'description': 'action or task that an object, person, or system is able to perform'}, 'event_confidence': 0.9063844680786133}]}","[{'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}]","[{'wd_qid': 'Q11348', 'wd_label': 'function', 'description': 'association of a single output to each input'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}]"
County receives hour.,plausible,0,"{'sen_id': 3, 'sentence': 'County receives hour.', 'predicted_mentions': [{'sentence_offset': [7, 15], 'trigger_words': 'receives', 'trigger_confidence': 0.9788438677787781, 'event_type': {'xpo_node': 'DWD_Q83493081', 'name': 'reception', 'description': 'process of recovering a message, signal, or item that has been transmitted'}, 'event_confidence': 0.987386167049408}]}","[{'wd_qid': 'Q15284', 'wd_label': 'municipality', 'description': 'administrative division having corporate status and usually powers of self-government or jurisdiction'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q11500', 'wd_label': 'area', 'description': 'quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane'}, {'wd_qid': 'Q28575', 'wd_label': 'county', 'description': 'geographical and administrative region in some countries'}, {'wd_qid': 'Q7275', 'wd_label': 'state', 'description': 'organised community living under a system of government; either a sovereign state, constituent state, or federated state'}, {'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}, {'wd_qid': 'Q19610511', 'wd_label': 'township', 'description': 'designation for an administrative territorial entity'}]","[{'wd_qid': 'Q25235', 'wd_label': 'hour', 'description': 'unit of time'}, {'wd_qid': 'Q11471', 'wd_label': 'time', 'description': 'dimension in which events can be ordered from the past through the present into the future'}]"
Traveler acknowledges recognition.,implausible,1,"{'sen_id': 4, 'sentence': 'Traveler acknowledges recognition.', 'predicted_mentions': [{'sentence_offset': [9, 21], 'trigger_words': 'acknowledges', 'trigger_confidence': 0.9544582962989807, 'event_type': {'xpo_node': 'DWD_Q3422036', 'name': 'recognition', 'description': 'process whereby a man is recognised as the father of a child'}, 'event_confidence': 0.9869329333305359}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}, {'wd_qid': 'Q22813352', 'wd_label': 'traveler', 'description': 'person who travels or makes voyages'}]","[{'wd_qid': 'Q7302601', 'wd_label': 'recognition', 'description': ""public acknowledgement of person's status or merits""}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}]"
Galaxy excludes power.,implausible,0,"{'sen_id': 5, 'sentence': 'Galaxy excludes power.', 'predicted_mentions': []}","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q25107', 'wd_label': 'power', 'description': 'ability to influence the behavior of others'}]"
Airport skips role.,implausible,1,"{'sen_id': 6, 'sentence': 'Airport skips role.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q210932', 'wd_label': 'airliner', 'description': 'aircraft designed for commercial transportation of passengers and cargo'}, {'wd_qid': 'Q22813352', 'wd_label': 'traveler', 'description': 'person who travels or makes voyages'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q214339', 'wd_label': 'role', 'description': 'set of behaviours, rights, obligations, beliefs, and norms expected from an individual that has a certain social status'}, {'wd_qid': 'Q4164871', 'wd_label': 'position', 'description': 'social role with a set of powers and responsibilities within a private or public organization or the state'}]"
Fence secures castle.,plausible,0,"{'sen_id': 7, 'sentence': 'Fence secures castle.', 'predicted_mentions': []}","[{'wd_qid': 'Q148571', 'wd_label': 'fence', 'description': 'freestanding structure preventing movement across a boundary'}, {'wd_qid': 'Q2885682', 'wd_label': 'barrier', 'description': 'synchronization mechanism'}, {'wd_qid': 'Q42948', 'wd_label': 'wall', 'description': 'vertical structure, usually solid, that defines and sometimes protects an area'}]","[{'wd_qid': 'Q23413', 'wd_label': 'castle', 'description': 'type of fortified structure built in Europe, Asia and the Middle East during the Middle Ages by nobility'}, {'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q6671777', 'wd_label': 'structure', 'description': 'arrangement and organization of interrelated elements in an object or system, or the object or system so organized'}, {'wd_qid': 'Q41176', 'wd_label': 'building', 'description': 'structure, typically with a roof and walls, standing more or less permanently in one place'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}]"
Son mentions friend.,plausible,1,"{'sen_id': 8, 'sentence': 'Son mentions friend.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q17297777', 'wd_label': 'friend', 'description': 'someone who a person has a friendship with'}]","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q17297777', 'wd_label': 'friend', 'description': 'someone who a person has a friendship with'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}]"
Broadcast concentrates alignment.,implausible,0,"{'sen_id': 9, 'sentence': 'Broadcast concentrates alignment.', 'predicted_mentions': [{'sentence_offset': [10, 22], 'trigger_words': 'concentrates', 'trigger_confidence': 0.7678264379501343, 'event_type': {'xpo_node': 'DWD_Q105571452', 'name': 'concentration', 'description': 'creating an output material with an increased density of a material of interest that is part of the input material by separating other parts of the input material'}, 'event_confidence': 0.9793643355369568}, {'sentence_offset': [23, 32], 'trigger_words': 'alignment', 'trigger_confidence': 0.6274420619010925, 'event_type': {'xpo_node': 'DWD_Q67566254', 'name': 'alignment', 'description': 'process in bioinformatics that compares two or more entities, typically the sequence or structure (or derivatives) of macromolecules, to identify equivalent subunits'}, 'event_confidence': 0.8843101859092712}]}","[{'wd_qid': 'Q15416', 'wd_label': 'television program', 'description': 'segment of audiovisual content intended for broadcast on television'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}]"
