event	original_label	abstractness_combination	rating	majority_multiclass	distribution_multiclass	majority_binary	distribution_binary
ability means mobility	plausible	a-m-a	[2, 5, 4, 5, 5, 2, 5, 5, 5, 5]	5	[0.0, 20.0, 10.0, 70.0]	1	[80.0, 20.0]
ability permits multiplication	plausible	a-c-m	[5, 5, 5, 5, 4, 5, 5, 4]	5	[0.0, 0.0, 25.0, 75.0]	1	[100.0, 0.0]
access diminishes power	plausible	a-m-a	[4, 2, 5, 5, 5, 4, 4, 2, 4]	unsure	[0.0, 22.22222222222222, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
achievement reaches community	plausible	a-c-m	[1, 4, 1, 4, 5, 4, 5, 4, 5, 4]	unsure	[20.0, 0.0, 50.0, 30.0]	1	[80.0, 20.0]
acquisition casts glance	plausible	a-c-m	[4, 5, 4, 4, 4, 4, 1, 2]	unsure	[12.5, 12.5, 62.5, 12.5]	1	[75.0, 25.0]
action catches interest	plausible	a-c-a	[4, 4, 4, 4, 5, 5, 5, 4]	unsure	[0.0, 0.0, 62.5, 37.5]	1	[100.0, 0.0]
advance decreases time	plausible	a-m-m	[1, 5, 4, 5, 5, 2, 5, 4, 4]	unsure	[11.11111111111111, 11.11111111111111, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
advance guarantees freedom	plausible	a-a-a	[4, 4, 2, 4, 4, 2, 4, 2, 4]	unsure	[0.0, 33.33333333333333, 66.66666666666666, 0.0]	unsure	[66.66666666666666, 33.33333333333333]
advantage leads state	plausible	a-c-m	[5, 4, 4, 4, 4, 4, 4, 1]	unsure	[12.5, 0.0, 75.0, 12.5]	1	[87.5, 12.5]
advantage outweighs risk	plausible	a-m-a	[4, 4, 5, 5, 2, 4, 4, 4, 1]	unsure	[11.11111111111111, 11.11111111111111, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
affiliate fills schedule	plausible	a-c-m	[2, 2, 4, 4, 5, 2, 5, 5, 5]	unsure	[0.0, 33.33333333333333, 22.22222222222222, 44.44444444444444]	unsure	[66.66666666666666, 33.33333333333333]
agency identifies variety	plausible	m-m-a	[5, 5, 5, 2, 5, 2, 4, 4, 5]	unsure	[0.0, 22.22222222222222, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
agent seizes phone	plausible	m-c-c	[4, 2, 5, 1, 5, 4, 4, 5, 4, 4]	unsure	[10.0, 10.0, 50.0, 30.0]	1	[80.0, 20.0]
agreement turns descendant	plausible	a-c-m	[4, 4, 5, 2, 4, 4, 4, 4, 5, 1]	unsure	[10.0, 10.0, 60.0, 20.0]	1	[80.0, 20.0]
airline starts operation	plausible	m-m-m	[5, 5, 4, 4, 5, 4, 1, 5, 5, 4]	unsure	[10.0, 0.0, 40.0, 50.0]	1	[90.0, 10.0]
airport handles user	plausible	c-c-m	[1, 1, 4, 1, 5, 2, 2, 5, 5]	unsure	[33.33333333333333, 22.22222222222222, 11.11111111111111, 33.33333333333333]	unsure	[44.44444444444444, 55.55555555555556]
airport provides variety	plausible	c-m-a	[2, 2, 4, 4, 5, 2, 2, 5]	unsure	[0.0, 50.0, 25.0, 25.0]	unsure	[50.0, 50.0]
airport starts operation	plausible	c-m-m	[4, 4, 5, 5, 5, 4, 5, 5]	unsure	[0.0, 0.0, 37.5, 62.5]	1	[100.0, 0.0]
album attains score	plausible	c-a-m	[4, 4, 5, 4, 5, 5, 5, 4, 5, 1]	unsure	[10.0, 0.0, 40.0, 50.0]	1	[90.0, 10.0]
