text,original_label,label,event_type
Event occurs year.,plausible,1,"{'sen_id': 0, 'sentence': 'Event occurs year.', 'predicted_mentions': []}"
Tortoise brings limb.,plausible,1,"{'sen_id': 1, 'sentence': 'Tortoise brings limb.', 'predicted_mentions': []}"
Headliner overpowers function.,implausible,1,"{'sen_id': 2, 'sentence': 'Headliner overpowers function.', 'predicted_mentions': [{'sentence_offset': [21, 29], 'trigger_words': 'function', 'trigger_confidence': 0.7656300067901611, 'event_type': {'xpo_node': 'DWD_Q1168263', 'name': 'function', 'description': 'action or task that an object, person, or system is able to perform'}, 'event_confidence': 0.9063844680786133}]}"
County receives hour.,plausible,0,"{'sen_id': 3, 'sentence': 'County receives hour.', 'predicted_mentions': [{'sentence_offset': [7, 15], 'trigger_words': 'receives', 'trigger_confidence': 0.9788438677787781, 'event_type': {'xpo_node': 'DWD_Q83493081', 'name': 'reception', 'description': 'process of recovering a message, signal, or item that has been transmitted'}, 'event_confidence': 0.987386167049408}]}"
Traveler acknowledges recognition.,implausible,1,"{'sen_id': 4, 'sentence': 'Traveler acknowledges recognition.', 'predicted_mentions': [{'sentence_offset': [9, 21], 'trigger_words': 'acknowledges', 'trigger_confidence': 0.9544582962989807, 'event_type': {'xpo_node': 'DWD_Q3422036', 'name': 'recognition', 'description': 'process whereby a man is recognised as the father of a child'}, 'event_confidence': 0.9869329333305359}]}"
Galaxy excludes power.,implausible,0,"{'sen_id': 5, 'sentence': 'Galaxy excludes power.', 'predicted_mentions': []}"
Airport skips role.,implausible,1,"{'sen_id': 6, 'sentence': 'Airport skips role.', 'predicted_mentions': []}"
Fence secures castle.,plausible,0,"{'sen_id': 7, 'sentence': 'Fence secures castle.', 'predicted_mentions': []}"
Son mentions friend.,plausible,1,"{'sen_id': 8, 'sentence': 'Son mentions friend.', 'predicted_mentions': []}"
Broadcast concentrates alignment.,implausible,0,"{'sen_id': 9, 'sentence': 'Broadcast concentrates alignment.', 'predicted_mentions': [{'sentence_offset': [10, 22], 'trigger_words': 'concentrates', 'trigger_confidence': 0.7678264379501343, 'event_type': {'xpo_node': 'DWD_Q105571452', 'name': 'concentration', 'description': 'creating an output material with an increased density of a material of interest that is part of the input material by separating other parts of the input material'}, 'event_confidence': 0.9793643355369568}, {'sentence_offset': [23, 32], 'trigger_words': 'alignment', 'trigger_confidence': 0.6274420619010925, 'event_type': {'xpo_node': 'DWD_Q67566254', 'name': 'alignment', 'description': 'process in bioinformatics that compares two or more entities, typically the sequence or structure (or derivatives) of macromolecules, to identify equivalent subunits'}, 'event_confidence': 0.8843101859092712}]}"
Building postdates connotation.,implausible,1,"{'sen_id': 10, 'sentence': 'Building postdates connotation.', 'predicted_mentions': []}"
Presence impresses rearrangement.,implausible,1,"{'sen_id': 11, 'sentence': 'Presence impresses rearrangement.', 'predicted_mentions': []}"
Breach accelerates seat.,implausible,0,"{'sen_id': 12, 'sentence': 'Breach accelerates seat.', 'predicted_mentions': []}"
Fraternity endures researcher.,implausible,1,"{'sen_id': 13, 'sentence': 'Fraternity endures researcher.', 'predicted_mentions': [{'sentence_offset': [11, 18], 'trigger_words': 'endures', 'trigger_confidence': 0.8059883117675781, 'event_type': {'xpo_node': 'DWD_Q14905957', 'name': 'endurance_training', 'description': 'exercising to increase physical endurance'}, 'event_confidence': 0.8371914625167847}]}"
Album breaks genre.,plausible,1,"{'sen_id': 14, 'sentence': 'Album breaks genre.', 'predicted_mentions': []}"
Man leaves hometown.,plausible,1,"{'sen_id': 15, 'sentence': 'Man leaves hometown.', 'predicted_mentions': [{'sentence_offset': [4, 10], 'trigger_words': 'leaves', 'trigger_confidence': 0.9593981504440308, 'event_type': {'xpo_node': 'DWD_Q101044775', 'name': 'farewell', 'description': 'used when people are leaving'}, 'event_confidence': 0.9853882193565369}]}"
Population follows religion.,plausible,1,"{'sen_id': 16, 'sentence': 'Population follows religion.', 'predicted_mentions': [{'sentence_offset': [11, 18], 'trigger_words': 'follows', 'trigger_confidence': 0.9859639406204224, 'event_type': {'xpo_node': 'DWD_Q1456974', 'name': 'obedience', 'description': 'yielding to instructions from an authority figure'}, 'event_confidence': 0.7291005849838257}]}"
