label,text
1,Dog shake cat.
1,Student climb ship.
1,Pipe vent vapor.
0,Chef burn air.
0,Boat crush air.
1,Knife sharpen glass.
1,Screwdriver fix door.
1,Stick hook purse.
0,Elephant shake smoke.
1,Woman cook turkey.
1,Mayor jail person.
1,Man film shirt.
1,Man crush child.
0,Cat lick cloud.
0,Crab move gorilla.
0,Leaf attach rope.
1,Oven cook steak.
1,Dog squash grape.
1,Elephant pull house.
1,Woman erect pen.
0,Water poison rock.
0,Bottle ejaculate book.
1,Man grab apple.
1,Dog close door.
1,Dog pull rope.
0,Rabbit clench lion.
1,Policeman bend lamp.
1,Oil dampen trash.
0,Wall hook fish.
0,Air warm log.
0,Oil lengthen brick.
0,Wind scratch arm.
1,Ant bite man.
1,Neck hang necklace.
0,Policeman halt oil.
0,Kangaroo kick oil.
1,Policeman cook dolphin.
1,Man shove infant.
0,Horse breed cow.
1,Man erect bug.
1,Knife sever rabbit.
0,Rabbit exhale pebbles.
0,Man lengthen rock.
0,Wind strike car.
0,Knife trim skyscraper.
1,Wolf haul cat.
0,Pillow smash table.
1,Rabbit eat banana.
1,Scissors clench purse.
1,Girl whisk egg.
0,Monkey vent cream.
1,Squid grab hand.
1,Bowl spill water.
1,Chair attack clown.
0,Sand beat dollar.
1,Man build deck.
1,Girl cook fish.
1,Cleaver slash bush.
0,Elephant haul book.
0,Sword slice smoke.
1,Boy pluck apple.
1,Student knit carpet.
1,Knife etch rock.
1,Elephant slide boat.
1,Student crop plant.
0,Pen pour juice.
1,Knife slice dough.
1,Spatula mince paper.
1,Sword hurt leg.
1,Child slide cup.
1,Freezer cool oil.
1,Man pack purse.
0,Cup pour cloud.
0,Barber pack ship.
0,Book cool table.
0,Ant clench closet.
1,Cat bite turtle.
1,Hands dig dirt.
1,Rock slam table.
1,Hand grasp handle.
0,Mole bury rain.
0,Glue fuse water.
0,Feather attack air.
1,Monkey grasp cup.
1,Spatula cook egg.
0,Student bury water.
1,Bowl dump water.
0,Child pack truck.
1,Shovel peel orange.
0,Pen pierce car.
0,Girl bury rain.
1,Clown drive car.
0,Ant lift dumbbell.
1,Man grab ham.
0,Bear wrestle rock.
0,Ant pet cat.
1,Horse tug car.
1,Rope yank chair.
1,Child spill cream.
1,Bird stretch snake.
1,Man open bottle.
0,Man construct sand.
1,Pen etch grape.
1,Grandma knit wool.
1,Scissors trim monkey.
1,Cake hit closet.
1,Desk hit ball.
0,Nose chafe milk.
1,Cloth rub meat.
0,Ant seize car.
0,Eraser erase water.
1,Food poison bird.
1,Elephant shake house.
0,Ant punch wall.
0,Tissue rip paper.
1,Stick draw house.
1,Policeman open window.
1,Child snatch paper.
1,Man knead pillow.
0,Desk hit cloud.
1,Spatula drain pond.
1,Sword slice pencil.
1,Rug mask hand.
0,Child grip water.
1,Sign halt boat.
0,Elephant tug pin.
1,Mouth squirt sand.
1,Hand hurl bag.
0,Elephant fill cup.
0,Man fix cream.
0,Pillow flatten car.
0,Smoke hit wool.
0,Bag contain dolphin.
1,Soil absorb oil.
0,Girl chew laptop.
1,Person chafe chef.
0,Clown clench air.
1,Cat lift rabbit.
0,Ant kiss girlfriend.
1,Dog exhale fume.
0,Camel enter cup.
0,Hand scrape pebbles.
1,Ship capsize boat.
1,Cat knead mud.
1,Robot attach tape.
0,Worm drag turtle.
0,Bowl hold dog.
1,Tube ejaculate water.
0,Horse knit wool.
0,Wind draw picture.
1,Hand grope curtain.
0,Boy punch vapor.
0,Oven chill cake.
1,Cat stomp ant.
1,Spoon etch wall.
1,Hat clean slate.
0,Purse break dumbbell.
0,Woman construct air.
1,Infant scrape table.
0,Elephant stroke pea.
0,Pillow damage rock.
0,Tree punch oxygen.
0,Ant mask face.
1,Monkey puff smoke.
0,Chef halt oil.
1,Spatula sever paper.
0,Bush chill tree.
0,Man knead knife.
1,Clown breed elephant.
1,Woman pack cake.
0,Milk wet lake.
1,Needle knit rug.
1,Hand clench bird.
1,Bear destroy cup.
1,Spatula catch beans.
1,Hand tap floor.
1,Girl toss pizza.
0,Ice freeze fire.
0,Dog damage hill.
0,Air feed man.
1,Cloth mask table.
0,Worm spin dumbbell.
0,Rabbit chop bush.
0,Ant tackle rabbit.
1,Rabbit hug dog.
1,Knife trim arm.
1,Rain dampen man.
0,Claw rip water.
0,Water cut man.
1,Hand hurl purse.
1,Fire heat girl.
1,Rope yank closet.
1,Wrench fix car.
0,Hair cool air.
0,Chair rub rain.
1,Monkey eat banana.
0,Girl grope oil.
0,Pancake flatten car.
0,Man fold pebbles.
0,Finger tap water.
1,Man count dog.
0,Cat whisk sauce.
1,Clown vomit pebbles.
0,Man drop car.
0,Cloud flatten moon.
0,Shovel dig air.
0,Man drain air.
0,Worm stomp grape.
0,Man strike air.
1,Ice freeze pebbles.
0,Elephant cook egg.
0,Butterfly catch horse.
0,Dog draw laptop.
1,Man ride bike.
1,Leopard drink water.
1,Dog eat rabbit.
0,Water dampen oil.
0,Knife sever rock.
1,Officer jail dentist.
1,Boy punch girl.
1,Stick sever paper.
0,Gorilla climb rabbit.
0,Finger hook train.
0,Man seize elephant.
0,Spoon bite dog.
1,Stove burn turtle.
1,Monkey slam cup.
1,Glue fuse monkey.
0,Girl close rock.
0,Man tackle lion.
1,Clown pack water.
1,Cat pluck leaf.
1,Rock crash cup.
1,Car cover grape.
0,Ant kiss elephant.
1,Ant seize pea.
1,Engineer build shelf.
0,Elephant spin air.
0,Man create air.
0,Elephant yank pin.
1,Cat pluck flower.
0,Pin pour juice.
1,Freezer chill juice.
0,Dog fish elephant.
0,Woman knit cup.
1,Monkey kick chef.
1,Rock strike table.
0,Cow open cream.
1,Girl crush infant.
0,Chef cook air.
0,Water wet ocean.
1,Arrow pierce paper.
0,Butterfly swallow pillow.
1,Girl beat dentist.
0,Woman peel key.
1,Chef jail dog.
0,Coal attack air.
1,Oven bake cake.
1,Pebbles build skyscraper.
0,Dolphin ride bike.
1,Girl catch dentist.
1,Infant draw pumpkin.
0,Girl cook spatula.
1,Cat knead cream.
1,Ape kiss wolf.
1,Man drive van.
1,Stick rip shirt.
0,Man fold lion.
0,Dog attach paper.
1,Eraser erase stain.
0,Chef exhale oil.
1,Monkey stretch dough.
0,Wind dampen rain.
0,Child haul ant.
1,Knife chop tree.
0,Dog haul wind.
1,Monkey open closet.
0,Dog stomp boat.
0,Student grab stairs.
1,Crab attack wolf.
0,Man hug ant.
1,Skyscraper contain gorilla.
1,Man strike purse.
1,Clown burn oil.
1,Gorilla chew apple.
0,Elephant heave pen.
0,Pin freeze fire.
0,Knife mince water.
0,Man crush pillow.
0,Chef attack rock.
0,Child wear pumpkin.
1,Spatula scrape board.
0,Clown sew paper.
1,Dog grope curtain.
0,Child dump mountain.
0,Bear smash water.
0,Cream open window.
0,Tree vent smoke.
0,Elephant tick worm.
1,Sword sharpen log.
1,Rock curb bike.
1,Girl dump cake.
0,Room vent rock.
0,Elephant clean shirt.
0,Hand spin house.
0,Finger hang mud.
1,Girl sew rug.
1,Monkey pluck graph.
0,Spatula scrape air.
1,Mallet flatten dough.
1,Needle knit cloth.
1,Woman pack trash.
1,Backpack contain cat.
0,Brick kill table.
1,Pebbles chafe nail.
0,Rope yank water.
1,Smoke mask laptop.
1,Fire heat man.
0,Dog chafe oil.
1,Hand stretch rope.
0,Air dig sand.
0,Water tick horse.
1,Hand rip book.
1,Wall halt girl.
0,Tree kick chair.
1,Soil bury remote.
1,Girl burn shirt.
0,Pillow scratch toe.
0,Monkey breed dolphin.
0,Hand puff smoke.
1,Pin pierce cheese.
0,Rice rip paper.
1,Knife trim pencil.
0,Man burn water.
1,Clown grope arm.
0,Girl capsize lion.
1,Pin hook fish.
0,Monkey breed pebbles.
0,Paper absorb sunlight.
0,Girl dampen air.
1,Goat eat steak.
