text,original_label,label
Event occurs year.,plausible,1
Tortoise brings limb.,plausible,1
Headliner overpowers function.,implausible,1
County receives hour.,plausible,0
Traveler acknowledges recognition.,implausible,1
Galaxy excludes power.,implausible,0
Airport skips role.,implausible,1
Fence secures castle.,plausible,0
Son mentions friend.,plausible,1
Broadcast concentrates alignment.,implausible,0
Building postdates connotation.,implausible,1
Presence impresses rearrangement.,implausible,1
Breach accelerates seat.,implausible,0
Fraternity endures researcher.,implausible,1
Album breaks genre.,plausible,1
Man leaves hometown.,plausible,1
Population follows religion.,plausible,1
Director enriches excellence.,implausible,1
Nominee carries district.,plausible,1
Government establishes relation.,plausible,1
Restriction poses challenge.,plausible,1
Lack leads productivity.,plausible,1
Bazaar covers costume.,implausible,1
Campus persuades scenery.,implausible,0
Fork finds triumph.,implausible,0
Team recovers medallion.,plausible,1
Reduction mitigates condition.,plausible,1
Communism holds rent.,implausible,0
Band reschedules tour.,plausible,0
Dealer draws tile.,plausible,0
Marble depicts success.,plausible,1
Reviewer praises film.,plausible,1
Train begins service.,plausible,1
Anecdote resumes opportunity.,implausible,1
Review compares book.,plausible,1
Study finds link.,plausible,1
Parka shows hardship.,implausible,1
Challenger chooses value.,plausible,1
Press shakes rent.,implausible,0
Opportunity improves allusion.,implausible,1
Apron reimburses dolphin.,implausible,0
Fellowship binds furnace.,implausible,0
Meat demonstrates barrel.,implausible,1
Book realizes size.,implausible,0
Prison evaluates possibility.,plausible,1
Magazine identifies firefighter.,plausible,1
Jellyfish create vortex.,plausible,1
Radio yells daughter.,implausible,0
Restructuring maximizes palace.,implausible,1
Paradox rotates tour.,implausible,0
Girl has tadpole.,implausible,1
Failure puts model.,plausible,1
Experimenter undertakes agreement.,implausible,1
Coefficient perpetuates side.,implausible,1
Thesis beats hometown.,implausible,0
Water rises yard.,plausible,0
Newspaper publishes issue.,plausible,1
Manservant imparts toilet.,implausible,0
Vernacular concedes attention.,implausible,1
Council provides function.,plausible,1
Movement embodies elegance.,plausible,1
Portrayal conveys sympathy.,plausible,1
Church renames wine.,implausible,1
Advantage decorates rupture.,implausible,1
Wind weaves salmon.,implausible,0
Table illustrates estimation.,plausible,1
Chin embraces infant.,plausible,1
Completion halve time.,plausible,1
Trophy begins photosynthesis.,implausible,0
Body incorporates illness.,plausible,1
Event diagnoses soccer.,implausible,1
Police render spider.,implausible,1
Person call town.,plausible,0
Spy mentions village.,plausible,1
Cavalry invalidates edition.,implausible,1
Stove spreads inflammation.,implausible,0
Restructuring waits newsletter.,implausible,1
Corruption facilitates destruction.,plausible,1
Branch stays independence.,implausible,1
Leader repudiates truck.,implausible,1
Report binds establishment.,implausible,0
Interaction stabilizes form.,plausible,1
Tactic acknowledges concern.,implausible,1
Society secures size.,implausible,0
Center elevates ammunition.,implausible,1
Alliance derives rupee.,implausible,0
Person despise dozen.,implausible,0
Foundation helps person.,plausible,1
Fleet regenerates notebook.,implausible,1
Wing exceeds angle.,plausible,0
Protester sings anthem.,plausible,1
Tension ignites situation.,implausible,1
Body hears testimony.,plausible,0
Difficulty reevaluates nest.,implausible,1
Space increases energy.,implausible,1
Advance guarantees freedom.,plausible,1
Village receives ward.,plausible,1
Owner secures trademark.,plausible,1
Combination wears situation.,plausible,1
Credit opposes dedication.,implausible,1
Piano plays note.,plausible,1
Murder cooks complacency.,implausible,0
Sponsorship renames method.,implausible,0
Study hurts treachery.,implausible,0
Destroyer enrages sorrow.,implausible,1
Child wears kind.,plausible,1
Pronunciation upends lover.,implausible,1
Photograph portrays procession.,plausible,1
Aura inflicts encyclopedia.,implausible,0
Activation weaves news.,implausible,0
Trophy knows place.,implausible,0
Library announces plan.,plausible,1
Class welcomes reservation.,plausible,1
Voter passes proposition.,plausible,1
Exception includes health.,implausible,1
Recommendation stimulates discussion.,plausible,1
Library strengthens mother.,implausible,0
Soldier switches loyalty.,plausible,1
War threatens land.,plausible,1
Investment exacerbates crocodile.,implausible,0
Dish tolerates cinnamon.,implausible,1
Footpath passes house.,plausible,1
Computer hurls opposition.,implausible,0
Difference hears mule.,implausible,0
Competition plays role.,plausible,1
Core comprises atrium.,plausible,1
Class rediscovers prosperity.,plausible,1
Refinement defines attainment.,plausible,1
Lack elevates importance.,plausible,1
Aquarium contains chance.,implausible,0
Memory improves fitness.,plausible,1
Nation combines effort.,plausible,1
Company makes bar.,plausible,1
Advantage outweighs risk.,plausible,0
Encouragement excites way.,implausible,0
Shipper drives value.,implausible,1
School educates girl.,plausible,1
Violinist considers exception.,implausible,1
Courthouse dismantles priority.,implausible,1
Lens beats clock.,implausible,0
Competency provides finger.,implausible,0
Construction follows completion.,plausible,1
Industrialization encodes architect.,implausible,1
Person seize opportunity.,plausible,1
Method paints band.,implausible,0
Newsstand carries cone.,implausible,0
Person make counterpoint.,plausible,1
Church passes resolution.,plausible,1
Army seizes castle.,plausible,1
Table underlines composition.,plausible,1
Initiation draws boardwalk.,implausible,0
Risk outweighs benefit.,plausible,1
Specialization regains heel.,implausible,0
Film portrays abortion.,plausible,1
Coffin assembles kilo.,implausible,0
Shoulder breaks competitiveness.,implausible,0
Book identifies characteristic.,plausible,1
Guy wears luck.,plausible,0
Organ possesses certainty.,implausible,1
Physiology rips overtone.,implausible,1
Club plays season.,plausible,1
Photograph depicts band.,plausible,0
Attempt redirects notoriety.,implausible,1
Water enables lawn.,plausible,1
Photograph says cushion.,implausible,0
Mission moves humanity.,plausible,1
Fraternity moves office.,plausible,1
Astrophysicist passes excavation.,implausible,0
Mania encourages energy.,plausible,1
Duck introduces virus.,plausible,1
Hobby collects quotation.,plausible,0
Fact casts shadow.,plausible,1
Undertaker escapes knowledge.,implausible,0
Turnover denounces advantage.,implausible,1
Mission publishes magazine.,plausible,1
Bank stops book.,implausible,1
Area produces number.,plausible,1
Sun outshines moon.,plausible,1
Character survives film.,plausible,1
